A	B	C	D	term
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00844	HK; hexokinase [EC:2.7.1.1]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K12407	GCK; glucokinase [EC:2.7.1.2]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00845	glk; glucokinase [EC:2.7.1.2]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K25026	glk; glucokinase [EC:2.7.1.2]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01810	GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K06859	pgi1; glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K13810	tal-pgi; transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K15916	pgi-pmi; glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K24182	PFK9; 6-phosphofructokinase [EC:2.7.1.11]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K16370	pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K21071	pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00918	pfkC; ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00895	pfp, PFP; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K03841	FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K02446	glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K11532	glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01086	fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K04041	fbp3; fructose-1,6-bisphosphatase III [EC:3.1.3.11]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01623	ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K11645	fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01624	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01622	K01622; fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K16305	K16305; fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K16306	K16306; fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01803	TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K10705	GAPDHS; glyceraldehyde-3-phosphate dehydrogenase (phosphorylating), spermatogenic [EC:1.2.1.12]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00150	gap2, gapB; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00927	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01834	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K15634	gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K15633	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K15635	apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01689	ENO1_2_3, eno; enolase 1/2/3 [EC:4.2.1.11]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K27394	ENO4; enolase 4 [EC:4.2.1.11]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00873	PK, pyk; pyruvate kinase [EC:2.7.1.40]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K12406	PKLR; pyruvate kinase isozymes R/L [EC:2.7.1.40]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01006	ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01007	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00627	DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00382	DLD, lpd, pdhD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K13997	PDHX; dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00172	porC, porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00189	vorG, porG; 2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K03737	por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00174	korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00175	korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00016	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01568	PDC, pdc; pyruvate decarboxylase [EC:4.1.1.1]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K13951	ADH1_7; alcohol dehydrogenase 1/7 [EC:1.1.1.1]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K13980	ADH4; alcohol dehydrogenase 4 [EC:1.1.1.1]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K13952	ADH6; alcohol dehydrogenase 6 [EC:1.1.1.1]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K04072	adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K13953	adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K13954	yiaY; alcohol dehydrogenase [EC:1.1.1.1]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K18857	ADH1; alcohol dehydrogenase class-P [EC:1.1.1.1]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00001	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00002	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K12957	ahr; alcohol/geraniol dehydrogenase (NADP+) [EC:1.1.1.2 1.1.1.183]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K13979	yahK; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K14028	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K14029	mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00114	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K04022	eutG; alcohol dehydrogenase
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K22473	adhA; alcohol dehydrogenase (quinone), dehydrogenase subunit [EC:1.1.5.5]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K22474	adhB; alcohol dehydrogenase (quinone), cytochrome c subunit [EC:1.1.5.5]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00149	ALDH9A1; aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00129	ALDH3; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00138	aldB; aldehyde dehydrogenase [EC:1.2.1.-]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01895	ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01913	AAE7, ACN1; acetate/butyrate---CoA ligase [EC:6.2.1.1 6.2.1.2]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01905	acdA; acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K22224	acdB; acetate---CoA ligase (ADP-forming) subunit beta [EC:6.2.1.13]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K24012	acdAB; acetate---CoA ligase (ADP-forming) [EC:6.2.1.13]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01785	galM, GALM; aldose 1-epimerase [EC:5.1.3.3]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01085	agp; glucose-1-phosphatase [EC:3.1.3.10]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K20866	yihX; glucose-1-phosphatase [EC:3.1.3.10]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01835	pgm; phosphoglucomutase [EC:5.4.2.2]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K15778	pmm-pgm; phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K15779	PGM2; phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01084	G6PC; glucose-6-phosphatase [EC:3.1.3.9]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00886	ppgK; polyphosphate glucokinase [EC:2.7.1.63]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K08074	ADPGK; ADP-dependent glucokinase [EC:2.7.1.147]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01792	E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01837	BPGM; bisphosphoglycerate/phosphoglycerate mutase [EC:5.4.2.4 5.4.2.11]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K03103	MINPP1; multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase [EC:3.1.3.62 3.1.3.80]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K11389	gapor; glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00131	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K18978	gapN; glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+] [EC:1.2.1.90]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01596	E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01610	pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01222	E3.2.1.86A, celF; 6-phospho-beta-glucosidase [EC:3.2.1.86]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01223	E3.2.1.86B, bglA; 6-phospho-beta-glucosidase [EC:3.2.1.86]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K02777	crr; sugar PTS system EIIA component [EC:2.7.1.-]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K02779	ptsG; glucose PTS system EIICB or EIICBA component [EC:2.7.1.199]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K02791	malX; maltose/glucose PTS system EIICB component [EC:2.7.1.199 2.7.1.208]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K20118	ptsG, glcA, glcB; glucose PTS system EIICBA or EIICB component [EC:2.7.1.199]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K02753	ascF; beta-glucoside (arbutin/salicin/cellobiose) PTS system EIICB component [EC:2.7.1.-]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K01647	CS, gltA; citrate synthase [EC:2.3.3.1]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K05942	E2.3.3.3; citrate (Re)-synthase [EC:2.3.3.3]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K01659	prpC; 2-methylcitrate synthase [EC:2.3.3.5]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K27797	MCSA; 2-methylcitrate synthase [EC:2.3.3.5]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K01648	ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K15230	aclA; ATP-citrate lyase alpha-subunit [EC:2.3.3.8]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K15231	aclB; ATP-citrate lyase beta-subunit [EC:2.3.3.8]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K01681	ACO; aconitate hydratase [EC:4.2.1.3]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K27802	acnA; aconitate hydratase A / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00031	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00030	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K17753	HICDH; isocitrate--homoisocitrate dehydrogenase [EC:1.1.1.286]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00658	DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K01616	kgd; multifunctional 2-oxoglutarate metabolism enzyme [EC:2.2.1.5 4.1.1.71 1.2.4.2 2.3.1.61]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00382	DLD, lpd, pdhD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00174	korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00175	korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00177	korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00176	korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K01902	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K01899	LSC1; succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K01900	LSC2; succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K18118	aarC, cat1; succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00234	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00235	SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00236	SDHC, SDH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00237	SDHD, SDH4; succinate dehydrogenase (ubiquinone) membrane anchor subunit
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K25801	SDH4; succinate dehydrogenase (ubiquinone) subunit 4
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00239	sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00240	sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00241	sdhC, frdC; succinate dehydrogenase cytochrome b subunit
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00242	sdhD, frdD; succinate dehydrogenase membrane anchor subunit
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K18859	sdhD, frdD; succinate dehydrogenase subunit D
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K18860	sdhD, frdD; succinate dehydrogenase subunit D
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00244	frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00245	frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00246	frdC; succinate dehydrogenase subunit C
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00247	frdD; succinate dehydrogenase subunit D
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00233	frdA, fdrA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1 7.1.1.12]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K25995	frdB, fdrB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1 7.1.1.12]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K25996	frdC, fdrC; succinate dehydrogenase subunit C
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K26318	fccA, fcc3; fumarate reductase (cytochrome) [EC:1.3.2.4]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K01676	E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K01677	E4.2.1.2AA, fumA; fumarate hydratase subunit alpha [EC:4.2.1.2]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K01678	E4.2.1.2AB, fumB; fumarate hydratase subunit beta [EC:4.2.1.2]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K01679	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K01675	fumD; fumarate hydratase D [EC:4.2.1.2]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K01774	fumE; fumarate hydratase E [EC:4.2.1.2]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00025	MDH1; malate dehydrogenase [EC:1.1.1.37]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00026	MDH2; malate dehydrogenase [EC:1.1.1.37]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00024	mdh; malate dehydrogenase [EC:1.1.1.37]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00116	mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K01958	PC, pyc; pyruvate carboxylase [EC:6.4.1.1]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K01959	pycA; pyruvate carboxylase subunit A [EC:6.4.1.1]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K01960	pycB; pyruvate carboxylase subunit B [EC:6.4.1.1]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K01610	pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K01596	E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00627	DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K13997	PDHX; dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00172	porC, porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
